PC,explained_variance,explained_variance_ratio,explained_variance_percent,cumulative_explained_variance_ratio,cumulative_explained_variance_percent
PC49,9.159509137349022e-11,2.343836707913536e-09,2.343836707913536e-07,0.999999995367686,99.9999995367686
PC50,7.064585477849601e-11,1.8077644250234493e-09,1.8077644250234493e-07,0.9999999971754504,99.99999971754504
PC51,3.386576816681674e-11,8.665948074379891e-10,8.665948074379892e-08,0.9999999980420452,99.99999980420452
PC52,2.4074910541355798e-11,6.16055491843701e-10,6.16055491843701e-08,0.9999999986581007,99.99999986581007
PC53,1.833404635622545e-11,4.691518967876343e-10,4.691518967876343e-08,0.9999999991272527,99.99999991272527
PC54,1.0375713073645372e-11,2.6550524496585513e-10,2.6550524496585514e-08,0.999999999392758,99.9999999392758
PC55,6.410104709971874e-12,1.6402886328851786e-10,1.6402886328851785e-08,0.9999999995567869,99.99999995567869
PC56,4.892826067959598e-12,1.252030558794667e-10,1.252030558794667e-08,0.9999999996819899,99.99999996819899
PC57,3.9867752949766454e-12,1.0201802457367877e-10,1.0201802457367876e-08,0.999999999784008,99.9999999784008
PC58,2.787925838921001e-12,7.13405360726012e-11,7.13405360726012e-09,0.9999999998553485,99.99999998553484
PC59,1.168686144021231e-12,2.990563624438589e-11,2.9905636244385888e-09,0.9999999998852541,99.99999998852542
PC60,1.004380685810016e-12,2.5701206088891146e-11,2.5701206088891145e-09,0.9999999999109553,99.99999999109554
PC61,8.486820931863602e-13,2.1717017948570993e-11,2.1717017948570993e-09,0.9999999999326724,99.99999999326724
PC62,6.559795505135922e-13,1.67859317249327e-11,1.67859317249327e-09,0.9999999999494583,99.99999999494584
PC63,6.169111191476628e-13,1.578620540572769e-11,1.578620540572769e-09,0.9999999999652445,99.99999999652445
PC64,5.13486374527719e-13,1.3139658420383818e-11,1.313965842038382e-09,0.9999999999783842,99.99999999783842
PC65,3.9295482373638283e-13,1.005536352018524e-11,1.005536352018524e-09,0.9999999999884396,99.99999999884396
PC66,3.747478328613216e-13,9.589462859858302e-12,9.589462859858303e-10,0.999999999998029,99.9999999998029
PC67,7.704139872838714e-14,1.9714206914461238e-12,1.9714206914461237e-10,1.0000000000000004,100.00000000000004
PC68,1.031812755989254e-33,2.640316830210607e-32,2.640316830210607e-30,1.0000000000000004,100.00000000000004
PC69,2.5173862725425655e-34,6.441766982385032e-33,6.441766982385032e-31,1.0000000000000004,100.00000000000004
PC70,2.5173862725425655e-34,6.441766982385032e-33,6.441766982385032e-31,1.0000000000000004,100.00000000000004
PC71,2.5173862725425655e-34,6.441766982385032e-33,6.441766982385032e-31,1.0000000000000004,100.00000000000004
PC72,2.5173862725425655e-34,6.441766982385032e-33,6.441766982385032e-31,1.0000000000000004,100.00000000000004
PC73,2.5173862725425655e-34,6.441766982385032e-33,6.441766982385032e-31,1.0000000000000004,100.00000000000004
PC74,2.5173862725425655e-34,6.441766982385032e-33,6.441766982385032e-31,1.0000000000000004,100.00000000000004
